study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	fastq_md5	fastq_ftp	submitted_bytes	sra_ftp	cram_index_ftp	cram_index_galaxy	sample_title
PRJEB6609	SAMEA2621169	ERS490490	ERX1782138	ERR1711959	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	146006783	60f67e0871beaea4598eb0992a264718;176081df175071b4ff9854470bc7ba5a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711959/ERR1711959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711959/ERR1711959_2.fastq.gz	11054828985;9756823650	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1711959			TARA_20101005T1535Z_072_EVENT_PUMP_P_D_(100 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000000833
PRJEB6609	SAMEA2623799	ERS494436	ERX1782176	ERR1711960	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	33554479	345c323f4e030b9d3c6fd62dbca754fe;caf6a979225bfb6686c391c6f8187fb6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711960/ERR1711960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711960/ERR1711960_2.fastq.gz	2467756367;2531746320	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711960			TARA_20120301T1853Z_149_Combined-EVENTS_CAST_MB_M_(740 m)_PROT_NUC-DNA(100L)_W0.8-3_TARA_N000002509
PRJEB6609	SAMEA2622159	ERS491923	ERX1782282	ERR1711961	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	32115409	cf7068f4bdc8762eb1e5634e60f8cff3;c2f4e214ceb0e441b0ae3ccb31fc23c3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711961/ERR1711961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711961/ERR1711961_2.fastq.gz	1822976844;1797395615	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711961			TARA_20110416T1306Z_100_Combined-EVENTS_CAST_MB_M_(177 m)_PROT_NUC-DNA(100L)_W3->_TARA_N000001643
PRJEB6609	SAMEA2656972	ERS490499	ERX1782332	ERR1711962	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	171029265	ef207b0effee11f68c2292698d19709d;a669a7324aa9719f81cf8a8c44ee62e8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711962/ERR1711962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711962/ERR1711962_2.fastq.gz	13606732976;13037779299	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711962			TARA_20101005T1745Z_072_EVENT_NET_N1+N2_D_(100 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000841
PRJEB6609	SAMEA2620205	ERS489054	ERX1782414	ERR1711963	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	150297544	8ead5d8989ecdefd83fff6becb1f6687;bb66be3bb2dcb47afeba86b3e18e61a9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711963/ERR1711963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711963/ERR1711963_2.fastq.gz	12530180864;11543935058	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711963			TARA_20100330T0247Z_041_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000073
PRJEB6609	SAMEA2622067	ERS491786	ERX1782183	ERR1711964	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	121035298	00f2cdfc3b75a3b3d692e70d9294086a;93cf1232b5c1e272d603a93429de2c30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711964/ERR1711964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711964/ERR1711964_2.fastq.gz	9005987356;8362768822	ftp.sra.ebi.ac.uk/vol1/err/ERR171/004/ERR1711964			TARA_20110404T1359Z_098_Combined-EVENTS_CAST_MB_M_(488 m)_PROT_NUC-RNA(100L)_W0.8-3_TARA_N000001590
PRJEB6609	SAMEA2621791	ERS491433	ERX1782214	ERR1711965	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	176100321	d650f1396f1b5c4807aac1c13feff3e0;8e254bdb5a91b54505f8206a373426ee	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711965/ERR1711965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711965/ERR1711965_2.fastq.gz	15101474445;14863582130	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1711965			TARA_20110312T1134Z_093_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000001296
PRJEB6609	SAMEA2620988	ERS490201	ERX1782233	ERR1711966	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	119763533	b6230453dff3d52947fe722ea266d521;a99aca069f20147fba93c2536a79b333	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711966/ERR1711966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711966/ERR1711966_2.fastq.gz	8998014482;8017690385	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1711966			TARA_20100907T0619Z_067_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000000756
PRJEB6609	SAMEA2621315	ERS490751	ERX1782226	ERR1711967	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	38043059	789e523b9f558741652c1646a751b1ca;27cd14baf36f91c31f91d58a51fd5b5e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711967/ERR1711967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711967/ERR1711967_2.fastq.gz	2970384854;2729985184	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1711967			TARA_20101129T1121Z_080_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000001491
PRJEB6609	SAMEA2620010	ERS488809	ERX1782302	ERR1711968	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	30129085	763f3f4e5ac23881664a80fe61171167;8ff5330d73533aa1459be43d06555044	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711968/ERR1711968_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711968/ERR1711968_2.fastq.gz	2520240674;2383000330	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1711968			TARA_20100315T0335Z_038_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000000029
PRJEB6609	SAMEA2623799	ERS494436	ERX1782255	ERR1711969	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	131847502	cddc9dcaf564fa367a7fc487cb8087a7;89831e98e3f22f87b1b21056ccd0c3b5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711969/ERR1711969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711969/ERR1711969_2.fastq.gz	9849009526;10070291299	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1711969			TARA_20120301T1853Z_149_Combined-EVENTS_CAST_MB_M_(740 m)_PROT_NUC-DNA(100L)_W0.8-3_TARA_N000002509
PRJEB6609	SAMEA2621280	ERS490699	ERX1782263	ERR1711970	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	152454476	cd7505aeb46a3a1ce71ed75e3f679e42;f98c482825abc449404fc86cc1777a08	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711970/ERR1711970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711970/ERR1711970_2.fastq.gz	12027068965;11495692385	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711970			TARA_20101104T1816Z_078_Combined-EVENTS_CAST_MB_D_(120 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000000618
PRJEB6609	SAMEA2620941	ERS490136	ERX1782160	ERR1711971	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	143811442	fd527cf66f4ccd28434101977aced91b;836968a9463492d7aaad47db3ca095e4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711971/ERR1711971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711971/ERR1711971_2.fastq.gz	11103724235;10422525611	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711971			TARA_20100715T1222Z_066_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000809
PRJEB6609	SAMEA2732843	ERS493328	ERX1782095	ERR1711972	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	145257821	6c6beed23b61f98419e76fa31b967ac1;51ee9423572ce4e28cd1316fb234bff4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711972/ERR1711972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711972/ERR1711972_2.fastq.gz	11033087429;9982599058	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711972			TARA_20111004T2149Z_132_EVENT_NET_N1_S_(5 m)_PROT_NUC-DNA(1L)_N5-20_TARA_N000002412
PRJEB6609	SAMEA2732736	ERS493320	ERX1782434	ERR1711973	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	156681717	efb97c8a7c188c0400d39e96bbcfd1e7;55388d1201962da967ee850d519a0926	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711973/ERR1711973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711973/ERR1711973_2.fastq.gz	12515201478;11845797400	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711973			TARA_20111004T2012Z_132_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002400
PRJEB6609	SAMEA2622039	ERS491758	ERX1782315	ERR1711974	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	136471687	fc3d65454f5b691d50a77bd6f886f2be;afae9e719801642abd4049eb057bb6c2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711974/ERR1711974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711974/ERR1711974_2.fastq.gz	9718460350;8421118386	ftp.sra.ebi.ac.uk/vol1/err/ERR171/004/ERR1711974			TARA_20110403T2150Z_098_Combined-EVENTS_CAST_MB_D_(188 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000001580
PRJEB6609	SAMEA2623018	ERS493224	ERX1782251	ERR1711975	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	48509622	97adee3c152be484442422bad5c16b90;f3a6a0549a831c402822869921cce41b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711975/ERR1711975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711975/ERR1711975_2.fastq.gz	3805322772;3450173441	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1711975			TARA_20110929T1923Z_131_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000002352
PRJEB6609	SAMEA2620379	ERS489280	ERX1782472	ERR1711976	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	156246157	db13bfd1eb0bd3b59c805d5e236874f6;e0329df28ab2099c92ebc930d82c4332	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711976/ERR1711976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711976/ERR1711976_2.fastq.gz	12836645875;11800068021	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1711976			TARA_20100415T0201Z_046_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000268
PRJEB6609	SAMEA2622489	ERS492368	ERX1782322	ERR1711977	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	136201466	0298b0c638fd1f54da6c2b4ed451cb0b;afbba8bd18971e50a238d8b74dd169bd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711977/ERR1711977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711977/ERR1711977_2.fastq.gz	10039652861;9341960893	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1711977			TARA_20110531T2030Z_111_Combined-EVENTS_CAST_MB_D_(90 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000001816
PRJEB6609	SAMEA2730769	ERS489476	ERX1782129	ERR1711978	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	154941932	13a94c0b275623e644d1b9367e83e464;014bbe197ff8859e56f5b6da2f4ff807	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711978/ERR1711978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711978/ERR1711978_2.fastq.gz	11506323161;11550939577	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1711978			TARA_20100511T0555Z_051_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000196
PRJEB6609	SAMEA2732732	ERS493278	ERX1782231	ERR1711979	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	45825561	1b017d49bcfc1074916588d52aa85f66;88ab50d89a32eaa3f07056647bb066b8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711979/ERR1711979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711979/ERR1711979_2.fastq.gz	3476428999;3116165059	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1711979			TARA_20110930T2211Z_131_EVENT_NET_N1_D_(110 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000002358
PRJEB6609	SAMEA2730900	ERS489291	ERX1782454	ERR1711980	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	43494873	5206733f9f46f8ab0c5c90360c2d0c4a;225f2bbfb5c9eaaeafe5510b6d53652f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711980/ERR1711980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711980/ERR1711980_2.fastq.gz	3276500607;3172862002	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711980			TARA_20100415T0604Z_046_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000270
PRJEB6609	SAMEA2623090	ERS493351	ERX1782240	ERR1711981	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	164402750	a49140ef0225795034347b85d2140bab;a5d3e5906a5c5098ff2295f82ed9bd42	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711981/ERR1711981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711981/ERR1711981_2.fastq.gz	13331122345;12643851883	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711981			TARA_20111005T0101Z_132_Combined-EVENTS_CAST_MB_D_(115 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002422
PRJEB6609	SAMEA2622232	ERS492025	ERX1782100	ERR1711982	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	49616999	a0ca9cf4d23a45376106db9d807d61a2;562ba0d3418331d4e68e70c5357e33e5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711982/ERR1711982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711982/ERR1711982_2.fastq.gz	3790457453;3350575686	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711982			TARA_20110422T2113Z_102_EVENT_PUMP_P_D_(40 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000001656
PRJEB6609	SAMEA2657087	ERS492004	ERX1782116	ERR1711983	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	138190693	7b93a26eb39317405da73dc3c45bad76;ef08df71da64f1ece3a96b430d83445c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711983/ERR1711983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711983/ERR1711983_2.fastq.gz	10654135478;10350319856	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711983			TARA_20110422T2017Z_102_EVENT_NET_N1+N2_D_(40 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001660
PRJEB6609	SAMEA2657045	ERS488521	ERX1782124	ERR1711984	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	33605732	c43ddf11bec3626838ccb851ce141370;63cc1681b074b98ab6a0056d56aa7188	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711984/ERR1711984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711984/ERR1711984_2.fastq.gz	2296791332;1988641335	ftp.sra.ebi.ac.uk/vol1/err/ERR171/004/ERR1711984			TARA_20091123T1620Z_025_EVENT_NET_N1+N2_D_(50 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_E500000200
PRJEB6609	SAMEA2622463	ERS492332	ERX1782478	ERR1711985	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	49294040	c4e6b05f69a1a69823785ef918dfe9a2;5f6449f583fcdb9cb2d7c15255b95064	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711985/ERR1711985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711985/ERR1711985_2.fastq.gz	3437408162;3171422377	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1711985			TARA_20110531T1425Z_111_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000001812
PRJEB6609	SAMEA2657094	ERS492662	ERX1782221	ERR1711986	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	34757551	e0a27d3876c635d5981fecb38700f71d;730d5d5b7d858d68644281155ec05ab9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711986/ERR1711986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711986/ERR1711986_2.fastq.gz	2416967626;2476826984	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1711986			TARA_20110726T2330Z_122_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001941
PRJEB6609	SAMEA2623072	ERS493313	ERX1782323	ERR1711987	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	7126280	873e033437ba46c66e3cd440cdc58f0e;345f87ccda18add7a2c7bd0be59f9142	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711987/ERR1711987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711987/ERR1711987_2.fastq.gz	558182149;551447056	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1711987			TARA_20111004T1746Z_132_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000002416
PRJEB6609	SAMEA2623072	ERS493313	ERX1782208	ERR1711988	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	180236545	1373571e16d4d433ecb6e58396c81aae;2cc14c2ab27b92dc5d0317a703341bfa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711988/ERR1711988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711988/ERR1711988_2.fastq.gz	14095389286;13350117286	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1711988			TARA_20111004T1746Z_132_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000002416
PRJEB6609	SAMEA2731987	ERS493066	ERX1782142	ERR1711989	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	92910675	99d5f4571dd60c74b4ad460b8116b8e8;d7fe021f9aa23f5fc8e41cb8b64065bf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711989/ERR1711989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711989/ERR1711989_2.fastq.gz	7206125165;7082191801	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1711989			TARA_20110904T2050Z_128_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002301
PRJEB6609	SAMEA2623815	ERS494452	ERX1782413	ERR1711990	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	160831655	02a425e50aed405c5c14163a3f5e34ae;59dd2e3ade70b67fa9b8477ecd0ac9f3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711990/ERR1711990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711990/ERR1711990_2.fastq.gz	12988371037;11993734429	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711990			TARA_20120305T0925Z_150_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002695
PRJEB6609	SAMEA2730747	ERS488908	ERX1782375	ERR1711991	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	129365927	11358e4e0c9cb41bebaff1f50f58ce00;327d019feb1b03d62f49c6a1c70e9d45	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711991/ERR1711991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711991/ERR1711991_2.fastq.gz	10376567058;9546031801	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711991			TARA_20100318T0956Z_039_EVENT_CONTROL_n/a_n/a_(n/a m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000000052
PRJEB6609	SAMEA2657036	ERS492344	ERX1782102	ERR1711992	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	51355728	406ada1725bc8fcdd6ac34cda6688b05;acb6282eef67c278da8c7e7b4137fbe2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711992/ERR1711992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711992/ERR1711992_2.fastq.gz	3886940929;3642141572	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711992			TARA_20110531T1541Z_111_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001823
PRJEB6609	SAMEA2657107	ERS488356	ERX1782392	ERR1711993	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	41278330	88e0eaad993744f0998b3af2b5c2cacf;5dd3dcde3d76f953bb0f04e8ad254da7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711993/ERR1711993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711993/ERR1711993_2.fastq.gz	3108345773;2807358727	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711993			TARA_20091102T1415Z_018_EVENT_NET_N1+N2_D_(80 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000589
PRJEB6609	SAMEA2730804	ERS493971	ERX1782450	ERR1711994	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	185056047	993bbc69e77eb7df23e3d4326dc84c35;07ba505b9e655c028d8a8f71c8917545	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711994/ERR1711994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711994/ERR1711994_2.fastq.gz	15635569419;14756280248	ftp.sra.ebi.ac.uk/vol1/err/ERR171/004/ERR1711994			TARA_20120109T1613Z_142_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000003087
PRJEB6609	SAMEA2619534	ERS488122	ERX1782131	ERR1711995	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	143240820	16454564cbfa045da1434898c1ec89d0;14f52ff1c64234076ec3fbfaff384f65	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711995/ERR1711995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711995/ERR1711995_2.fastq.gz	9502378092;9781583041	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1711995			TARA_20090928T1218Z_009_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_X000000954
PRJEB6609	SAMEA2620222	ERS489079	ERX1782410	ERR1711996	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	135721147	d948095388ec2b7b30292d566dcec766;0f1d60c06157c18676f18b2067f3a8a1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711996/ERR1711996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711996/ERR1711996_2.fastq.gz	8488165818;8501215033	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1711996			TARA_20100330T1056Z_041_EVENT_PUMP_P_D_(60 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000074
PRJEB6609	SAMEA2731641	ERS494418	ERX1782461	ERR1711997	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	161621615	0d1c7a70b682eabca74e50eee356cdb2;699b8d81c50f36f7e947a77685bf3a63	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711997/ERR1711997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711997/ERR1711997_2.fastq.gz	12706444184;11700714080	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1711997			TARA_20120301T1422Z_149_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002139
PRJEB6609	SAMEA2619777	ERS488497	ERX1782342	ERR1711998	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	148300981	6af2037490d3f47cba5959eec8bd6517;68733f5327ccf6ecedadbba0d2608764	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711998/ERR1711998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711998/ERR1711998_2.fastq.gz	11476939435;10151190125	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1711998			TARA_20091123T0912Z_025_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_A100000393
PRJEB6609	SAMEA2622774	ERS492829	ERX1782418	ERR1711999	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	57145112	9ea2abfe52c5de41ba50336c0f89387e;90df496fac66959a08cfce77fadb26b4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711999/ERR1711999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711999/ERR1711999_2.fastq.gz	3810141457;3753569828	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1711999			TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000002039
